WF_Time,TF-IDF Time,TR- Time,WFI_Time,WF_Precision,TF-IDF Precision,TR- Precision,WFI_Precision,WF_Recal,TF-IDF Recal,TR- Recal,WFI_Recal,WF_F-Measure,TF-IDF F-Measure,TR- F-Measure,WFI_F-Measure
0.001601,0.0086212,0.0044361,0.0014611,0.244444444,0,0.466666667,0,0.956521739,0,0.154411765,0,0.389380531,0,0.232044199,0
0.0056183,0.023179,0.0112782,0.0057057,0.019417476,0.349514563,0.40776699,0.009708738,0.090909091,0.285714286,0.170040486,0.023255814,0.032,0.31441048,0.24,0.01369863
0.0039461,0.0182293,0.0080399,0.0040138,0,0.075,0.7875,0,0,0.058823529,0.235074627,0,0,0.065934066,0.362068966,0
0.0060811,0.0244137,0.0119363,0.0059627,0.197368421,0,0.710526316,0.210526316,0.9375,0,0.207692308,0.333333333,0.326086957,0,0.321428571,0.258064516
0.0029899,0.0150424,0.0086255,0.0030552,0,0.016393443,0.278688525,0.016393443,0,0.015625,0.065891473,0.026315789,0,0.016,0.106583072,0.02020202
0.0024718,0.013632,0.0051729,0.0024732,0.03030303,0.03030303,0.939393939,0,0.055555556,0.008474576,0.106896552,0,0.039215686,0.013245033,0.191950464,0
0.0039067,0.0183337,0.0081357,0.0038216,0.325,0.0875,0.3,0.025,0.962962963,0.175,0.089219331,0.044444444,0.485981308,0.116666667,0.137535817,0.032
0.0030531,0.0157521,0.0075093,0.0030417,0.054054054,0.027027027,0.189189189,0.135135135,0.064516129,0.011764706,0.026717557,0.111111111,0.058823529,0.016393443,0.046822742,0.12195122
0.0023628,0.0123692,0.0051246,0.002451,0.061085973,0.380090498,0.540723982,0.113122172,0.931034483,0.98245614,0.967611336,0.961538462,0.114649682,0.54812398,0.693759071,0.20242915
0.0038344,0.0181274,0.0075358,0.0038069,0,0,0.161764706,0,0,0,0.042307692,0,0,0,0.067073171,0
0.0018376,0.0098497,0.0036914,0.00186,0.032258065,0.016129032,0.60483871,0.016129032,0.235294118,0.025641026,0.296442688,0.044444444,0.056737589,0.01980198,0.397877984,0.023668639
0.0011327,0.0064967,0.0026723,0.0012782,0.037037037,0,0.962962963,0,0.035714286,0,0.121495327,0,0.036363636,0,0.215767635,0
0.0018843,0.0104024,0.0044854,0.0019383,0.052631579,0,0.526315789,0.052631579,0.15,0,0.117647059,0.15,0.077922078,0,0.192307692,0.077922078
0.0011717,0.0055645,0.0022266,0.0011475,0.021276596,0.340425532,0,0.021276596,0.035714286,0.571428571,0,0.034482759,0.026666667,0.426666667,0,0.026315789
0.0017843,0.0101444,0.0044715,0.0018153,0,0.027777778,0.027777778,0,0,0.008264463,0.003921569,0,0,0.012738854,0.006872852,0
0.002959,0.0150189,0.0064081,0.0030406,0,0,0.633802817,0,0,0,0.179282869,0,0,0,0.279503106,0
